2025-09-22 00:04:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,557,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,557,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,557,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:05:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,557,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,557,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:06:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:06:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:06:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:06:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:07:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:07:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,563,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,563,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,563,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,563,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,563,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:08:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:09:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
